Q1: Age group (Ordinal);Q2: Gender (Nominal);Q3: Country (Nominal);Q4: Organisation size (employees) (Ordinal);Q5: Industry (Nominal);Q6: Years of active investment experience (Ratio);Q7: Investor acquisition events attended (past 2 yrs) (Ratio);Q8: Typical single deal size considered (Ratio);Q9: Follow-up meetings planned from today's event (Ratio);Q10: Overall satisfaction with this event (Ordinal);Q11: Relevance of deal flow to investment strategy (Ordinal);Q12: Quality of networking opportunities (Ordinal);Q13: Likelihood to recommend this event to a peer (Ordinal);Q14: Preferred format for future events (Nominal);Q15: Additional investors from your network you might invite (Ratio);Q16: How would you describe the atmosphere of this event? (Text);Q17: How do you assess the probability of successful acquisitions resulting from this event? (Text);Q18: What would motivate you to participate in a future edition of this event? (Text)
30 - 39;Male;Netherlands;10 - 49 (small);Manufacturing / Industry;10;3;900;1;4;4;5;3;Fully virtual;2;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
40 - 49;Male;Germany;1,000+ (enterprise);Healthcare / Life Sciences;12;3;1350;1;4;3;4;3;In-person only;1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
50 - 59;Male;France;1 - 9 (micro);Technology / Software;12;4;650;3;4;4;4;3;Hybrid (in-person + virtual);1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
50 - 59;Male;United Kingdom;250 - 999 (large);Technology / Software;14;3;700;3;4;4;4;5;In-person only;2;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
Under 30;Male;Germany;1,000+ (enterprise);Financial Services;11;7;750;5;3;4;4;5;Fully virtual;4;Excellent energy throughout the day. The organisers clearly curated the guest list carefully, which made every interaction feel purposeful.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
30 - 39;Other;United Kingdom;50 - 249 (medium);Technology / Software;13;5;550;4;3;4;4;4;In-person only;3;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
60 or older;Prefer not to say;United Kingdom;250 - 999 (large);Financial Services;4;3;900;1;4;4;2;2;No preference;2;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
50 - 59;Female;Other non-EU;10 - 49 (small);Healthcare / Life Sciences;1;2;650;1;3;4;4;3;Fully virtual;2;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
40 - 49;Female;Netherlands;1 - 9 (micro);Consumer Goods;11;1;650;3;4;5;4;3;Hybrid (in-person + virtual);3;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
30 - 39;Male;Netherlands;50 - 249 (medium);Consumer Goods;0;2;1300;2;4;4;4;2;In-person only;1;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
30 - 39;Male;United States;10 - 49 (small);Healthcare / Life Sciences;12;5;350;4;4;5;5;4;Hybrid (in-person + virtual);3;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;I would return without hesitation. The quality of participants and the event structure made it one of the better investor events I have attended this year.
50 - 59;Prefer not to say;Netherlands;1,000+ (enterprise);Energy / Cleantech;8;2;350;2;3;1;1;3;Hybrid (in-person + virtual);0;The venue was uncomfortable and overcrowded, which negatively affected the overall experience from the start.;I see limited probability of a successful acquisition. The companies presented were either outside our investment stage or had unrealistic valuations.;I would need to see significant improvements in deal flow quality and tighter vetting of presenting companies before considering a return.
50 - 59;Female;United Kingdom;250 - 999 (large);Other;5;3;1200;2;3;3;4;3;In-person only;0;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
30 - 39;Non-binary / gender diverse;Germany;250 - 999 (large);Technology / Software;6;7;1300;4;4;4;5;4;Hybrid (in-person + virtual);0;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
Under 30;Prefer not to say;Other EU;50 - 249 (medium);Healthcare / Life Sciences;12;5;650;0;1;3;3;1;Hybrid (in-person + virtual);0;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
60 or older;Male;United Kingdom;1,000+ (enterprise);Other;8;4;200;3;3;2;3;2;Fully virtual;3;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
50 - 59;Male;Other non-EU;10 - 49 (small);Manufacturing / Industry;8;5;700;2;4;4;3;3;No preference;2;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
60 or older;Male;Other EU;50 - 249 (medium);Technology / Software;17;5;900;1;2;3;3;2;In-person only;2;I found the atmosphere a bit chaotic. The schedule ran late and the session transitions were poorly managed.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
Under 30;Male;Germany;1,000+ (enterprise);Real Estate;17;6;250;1;3;3;2;3;No preference;3;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
60 or older;Female;Switzerland;10 - 49 (small);Consumer Goods;17;2;850;3;3;2;2;2;In-person only;1;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
30 - 39;Female;United States;50 - 249 (medium);Healthcare / Life Sciences;7;3;700;3;4;3;5;4;Hybrid (in-person + virtual);4;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
40 - 49;Male;United States;50 - 249 (medium);Financial Services;13;2;800;2;4;3;2;4;In-person only;2;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
30 - 39;Prefer not to say;France;50 - 249 (medium);Energy / Cleantech;17;4;150;1;2;2;3;2;In-person only;0;The event felt rushed and poorly paced. There was little opportunity to connect meaningfully with other participants.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;I am unlikely to return unless the organisers address the poor time management and improve the quality of the briefing materials.
60 or older;Male;France;10 - 49 (small);Other;15;2;900;1;5;4;3;4;No preference;3;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
40 - 49;Female;Netherlands;10 - 49 (small);Manufacturing / Industry;27;5;500;5;3;4;3;4;Hybrid (in-person + virtual);3;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
40 - 49;Female;Germany;250 - 999 (large);Energy / Cleantech;8;3;750;3;3;2;4;3;Hybrid (in-person + virtual);0;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
40 - 49;Male;United Kingdom;250 - 999 (large);Energy / Cleantech;4;3;1650;0;3;2;2;2;Fully virtual;2;Disappointing ambiance. The noise level in the networking area made it nearly impossible to have focused conversations.;The probability feels low. While some founders were impressive, the valuations asked were significantly above what the traction justified.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
30 - 39;Non-binary / gender diverse;Other non-EU;1,000+ (enterprise);Manufacturing / Industry;13;4;900;3;5;4;3;5;In-person only;4;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
60 or older;Non-binary / gender diverse;Germany;10 - 49 (small);Energy / Cleantech;23;4;950;3;3;5;5;5;Hybrid (in-person + virtual);3;Excellent energy throughout the day. The organisers clearly curated the guest list carefully, which made every interaction feel purposeful.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
Under 30;Female;Switzerland;50 - 249 (medium);Financial Services;19;6;1200;4;5;4;3;4;Hybrid (in-person + virtual);2;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
60 or older;Female;United Kingdom;250 - 999 (large);Manufacturing / Industry;7;3;500;2;5;4;5;3;Hybrid (in-person + virtual);4;Excellent energy throughout the day. The organisers clearly curated the guest list carefully, which made every interaction feel purposeful.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
40 - 49;Male;Other EU;10 - 49 (small);Energy / Cleantech;11;8;900;4;5;4;5;4;Hybrid (in-person + virtual);0;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
40 - 49;Male;United Kingdom;10 - 49 (small);Real Estate;4;4;400;1;3;2;4;2;Fully virtual;0;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
30 - 39;Female;France;50 - 249 (medium);Consumer Goods;19;7;850;1;2;1;2;3;Hybrid (in-person + virtual);0;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;Better pre-event communication and a clearer agenda would help. I felt underprepared for several of the sessions.
60 or older;Female;Netherlands;10 - 49 (small);Other;11;3;500;1;1;1;2;1;No preference;1;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;Unlikely to result in an acquisition for us. The industries represented did not overlap with our current investment thesis.;I would only return if the networking format was redesigned. Open mingling does not work well for serious investors with specific mandates.
40 - 49;Prefer not to say;United States;50 - 249 (medium);Consumer Goods;4;4;400;0;2;2;3;2;In-person only;1;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;The probability feels low. While some founders were impressive, the valuations asked were significantly above what the traction justified.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
40 - 49;Male;Germany;250 - 999 (large);Healthcare / Life Sciences;18;2;450;3;4;5;5;5;No preference;5;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;I see a strong probability of at least two deals progressing from today. Several companies matched our thesis precisely and follow-up calls are already scheduled.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
30 - 39;Female;Other non-EU;50 - 249 (medium);Energy / Cleantech;23;4;600;3;5;5;5;4;In-person only;4;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
40 - 49;Female;Netherlands;1,000+ (enterprise);Energy / Cleantech;4;6;900;4;4;2;4;4;Hybrid (in-person + virtual);1;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
40 - 49;Non-binary / gender diverse;France;250 - 999 (large);Technology / Software;4;0;750;3;5;4;3;4;No preference;3;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;Very likely to return. If the organisers add a dedicated deep-dive track for specific sectors it would further increase the value.
40 - 49;Male;Switzerland;250 - 999 (large);Manufacturing / Industry;5;5;850;1;3;4;3;4;In-person only;1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
30 - 39;Female;Netherlands;250 - 999 (large);Financial Services;9;5;550;1;4;2;3;4;Hybrid (in-person + virtual);2;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
40 - 49;Male;United Kingdom;50 - 249 (medium);Financial Services;5;3;100;3;2;3;2;3;In-person only;1;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
40 - 49;Male;Germany;50 - 249 (medium);Manufacturing / Industry;16;0;200;2;4;3;2;4;Fully virtual;3;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
Under 30;Male;Germany;50 - 249 (medium);Technology / Software;9;7;50;3;4;4;3;4;Hybrid (in-person + virtual);1;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
Under 30;Female;Other non-EU;250 - 999 (large);Financial Services;5;6;100;3;4;4;4;5;No preference;1;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
60 or older;Male;United States;1 - 9 (micro);Technology / Software;27;1;750;2;4;5;5;4;Fully virtual;5;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
60 or older;Male;Switzerland;250 - 999 (large);Other;4;5;650;1;2;2;1;1;Hybrid (in-person + virtual);0;The event felt rushed and poorly paced. There was little opportunity to connect meaningfully with other participants.;Unlikely to result in an acquisition for us. The industries represented did not overlap with our current investment thesis.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
Under 30;Male;Germany;1 - 9 (micro);Manufacturing / Industry;18;4;600;5;4;3;5;4;Hybrid (in-person + virtual);7;Very positive atmosphere. There was a genuine sense of mutual interest among attendees, which is rare at events of this scale.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
30 - 39;Male;Other EU;10 - 49 (small);Technology / Software;12;7;850;4;5;4;3;3;Fully virtual;3;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
30 - 39;Non-binary / gender diverse;Other EU;50 - 249 (medium);Financial Services;11;5;1350;1;3;3;3;2;No preference;1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
40 - 49;Male;Germany;1,000+ (enterprise);Manufacturing / Industry;2;5;1000;1;1;2;1;2;Hybrid (in-person + virtual);0;The event felt rushed and poorly paced. There was little opportunity to connect meaningfully with other participants.;Low probability from my perspective. Several companies were still at ideation stage, which is too early for our fund mandate.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
40 - 49;Female;Netherlands;50 - 249 (medium);Consumer Goods;20;4;1000;5;5;4;5;4;Hybrid (in-person + virtual);4;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
50 - 59;Male;United States;1 - 9 (micro);Healthcare / Life Sciences;22;7;400;0;2;3;2;3;In-person only;1;I found the atmosphere a bit chaotic. The schedule ran late and the session transitions were poorly managed.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;I would only return if the networking format was redesigned. Open mingling does not work well for serious investors with specific mandates.
40 - 49;Male;United States;50 - 249 (medium);Financial Services;14;0;400;3;4;5;5;5;Hybrid (in-person + virtual);3;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
40 - 49;Male;United States;250 - 999 (large);Consumer Goods;8;5;600;0;3;3;1;3;Hybrid (in-person + virtual);1;The energy was low. Many attendees seemed disengaged during the presentations and the networking breaks were too short.;Low probability from my perspective. Several companies were still at ideation stage, which is too early for our fund mandate.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
30 - 39;Male;Netherlands;250 - 999 (large);Financial Services;10;7;300;5;4;3;4;5;In-person only;6;Very positive atmosphere. There was a genuine sense of mutual interest among attendees, which is rare at events of this scale.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
60 or older;Male;Germany;10 - 49 (small);Technology / Software;25;6;650;1;1;3;3;2;In-person only;0;Disappointing ambiance. The noise level in the networking area made it nearly impossible to have focused conversations.;Unfortunately not very promising. The deal flow did not align well with our sector focus and the financials on most companies were not compelling.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
50 - 59;Male;Germany;50 - 249 (medium);Technology / Software;0;6;850;4;2;2;3;4;In-person only;1;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
40 - 49;Male;Netherlands;50 - 249 (medium);Energy / Cleantech;8;3;450;1;2;1;2;2;Hybrid (in-person + virtual);2;The energy was low. Many attendees seemed disengaged during the presentations and the networking breaks were too short.;Low probability from my perspective. Several companies were still at ideation stage, which is too early for our fund mandate.;I would only return if the networking format was redesigned. Open mingling does not work well for serious investors with specific mandates.
40 - 49;Female;Other non-EU;1,000+ (enterprise);Healthcare / Life Sciences;12;6;750;3;5;5;4;3;Hybrid (in-person + virtual);4;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
50 - 59;Male;Germany;1 - 9 (micro);Manufacturing / Industry;0;4;300;1;3;4;2;3;In-person only;2;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
40 - 49;Male;United States;50 - 249 (medium);Technology / Software;14;4;750;1;2;3;3;2;In-person only;0;I found the atmosphere a bit chaotic. The schedule ran late and the session transitions were poorly managed.;Low probability from my perspective. Several companies were still at ideation stage, which is too early for our fund mandate.;Better pre-event communication and a clearer agenda would help. I felt underprepared for several of the sessions.
30 - 39;Male;Other non-EU;50 - 249 (medium);Real Estate;5;7;900;2;3;3;3;3;Fully virtual;2;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
50 - 59;Male;Switzerland;1 - 9 (micro);Healthcare / Life Sciences;0;4;250;3;3;3;2;3;In-person only;3;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
30 - 39;Male;Germany;1,000+ (enterprise);Consumer Goods;13;5;500;0;2;3;3;3;In-person only;2;The venue was uncomfortable and overcrowded, which negatively affected the overall experience from the start.;The probability feels low. While some founders were impressive, the valuations asked were significantly above what the traction justified.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
30 - 39;Male;Germany;50 - 249 (medium);Manufacturing / Industry;15;1;1650;2;3;3;4;3;Hybrid (in-person + virtual);1;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
50 - 59;Male;Germany;250 - 999 (large);Financial Services;22;7;300;4;4;5;4;5;Hybrid (in-person + virtual);3;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;I see a strong probability of at least two deals progressing from today. Several companies matched our thesis precisely and follow-up calls are already scheduled.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
30 - 39;Female;United Kingdom;50 - 249 (medium);Technology / Software;6;3;450;2;3;4;2;3;Hybrid (in-person + virtual);3;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
40 - 49;Male;France;250 - 999 (large);Financial Services;10;3;600;3;4;4;5;4;Hybrid (in-person + virtual);5;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
40 - 49;Male;United Kingdom;50 - 249 (medium);Energy / Cleantech;17;8;1150;4;5;4;4;4;Hybrid (in-person + virtual);3;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
50 - 59;Female;France;50 - 249 (medium);Real Estate;13;3;850;2;2;2;2;2;Hybrid (in-person + virtual);0;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;The probability feels low. While some founders were impressive, the valuations asked were significantly above what the traction justified.;I would need to see significant improvements in deal flow quality and tighter vetting of presenting companies before considering a return.
50 - 59;Male;Netherlands;250 - 999 (large);Healthcare / Life Sciences;5;7;1200;2;4;4;3;3;No preference;1;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
40 - 49;Male;Other EU;50 - 249 (medium);Financial Services;5;3;100;1;3;4;3;3;In-person only;1;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
30 - 39;Female;Other EU;1 - 9 (micro);Consumer Goods;13;3;450;2;4;5;4;5;In-person only;4;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
30 - 39;Male;Germany;50 - 249 (medium);Other;11;1;800;0;2;1;1;1;Hybrid (in-person + virtual);0;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;I see limited probability of a successful acquisition. The companies presented were either outside our investment stage or had unrealistic valuations.;I am unlikely to return unless the organisers address the poor time management and improve the quality of the briefing materials.
Under 30;Male;United Kingdom;250 - 999 (large);Healthcare / Life Sciences;23;7;150;2;4;3;3;3;Hybrid (in-person + virtual);0;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
40 - 49;Male;Netherlands;10 - 49 (small);Manufacturing / Industry;31;4;750;2;5;5;4;4;Hybrid (in-person + virtual);1;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;I would return without hesitation. The quality of participants and the event structure made it one of the better investor events I have attended this year.
